forCustomerClub,salesCount,availableColors,mockupBackImageUrl,preDesignedProductCategory,description,stockQuantity,isGreetingProduct,twoSidedPrintingCost,imageSlots,tips,designName,price,imageUrl,backImageUrl,suitableFor,productType,height,bulkDiscounts,shapeMaskUrl,orientation,additionalImages,active,availableSizes,material,name,width,mountingOptions,hasTwoSidedPrinting,photoMaskUrl,category,mockupImageUrl,baseGraphicUrl,dimensions,id,created_date,updated_date,created_by_id,created_by,is_sample
"false","5","[]","","","מתלה מפתחות מעץ טבעי הוא הזדמנות ליצור פריט אישי ואותנטי - הדפיסו עליו את התמונות או העיצובים שאתם אוהבים. זהו פריט שמוסיף חום לכל חלל ומתנה מיוחדת שתשמח את מי שחשוב לכם.","6","false","10","","ההדפסה היא על עץ טבעי, לכן יהיה שינוי בגוונים של ההדפסה, מומלץ להדפסים של איורים או שחור לבן ","","69","https://base44.app/api/apps/68d6c74511c551c2152b265d/files/public/68d6c74511c551c2152b265d/8b081b433_166882.png","","[""office"",""gifts"",""home"",""teachers"",""children""]","regular","10","[]","","landscape","[]","true","[]","","מתלה מפתחות עץ טבעי","30","[""hanging""]","false","","המומלצים שלנו","","","","6983685030c52f34df1c806f","2026-02-04T15:40:00.161000","2026-02-04T15:40:00.161000","68d6c74511c551c2152b265e","chaimovsky.d@gmail.com","false"
"false","25","[]","","","ציפית כרית Love מאפשרת לכם להדפיס ארבע תמונות אישיות או עיצובים משותפים, כדי ליצור מוצר ייחודי שלכם. זו מתנה מקסימה ומרגשת שתוסיף נופך אישי בכל חדר. גודל הציפיות מתאים לכרית 40*40","8","false","10","[{""description"":"""",""slotId"":""slot_1770219431262"",""targetHeight"":14,""label"":""תמונה 1"",""targetWidth"":14,""shapeMaskUrl"":""""},{""description"":"""",""slotId"":""slot_1770219432115"",""targetHeight"":14,""label"":""תמונה 2"",""targetWidth"":14,""shapeMaskUrl"":""""},{""description"":"""",""slotId"":""slot_1770219432658"",""targetHeight"":14,""label"":""תמונה 3"",""targetWidth"":14,""shapeMaskUrl"":""""},{""description"":"""",""slotId"":""slot_1770219433110"",""targetHeight"":14,""label"":""תמונה 4"",""targetWidth"":14,""shapeMaskUrl"":""""}]","","","50","https://base44.app/api/apps/68d6c74511c551c2152b265d/files/public/68d6c74511c551c2152b265d/74c7c1038_166876.png","","[""women"",""home"",""men"",""children"",""gifts""]","regular","14","[]","","any","[]","true","[]","","ציפית כרית Love ארבע תמונות","14","[""not_relevant""]","false","","טקסטיל","","","","698367c5eec16f1c3ae7bd08","2026-02-04T15:37:41.378000","2026-02-04T15:37:41.378000","68d6c74511c551c2152b265e","chaimovsky.d@gmail.com","false"
"false","5","[""ורוד"",""סגול""]","","","מראת איפור עם ידית מסרק נשלפת היא ההזדמנות שלכם להביא לידי ביטוי את היצירתיות שלכם! הדפיסו עליה את התמונות או העיצובים האישיים שלכם והבינו איך כל יום איפור הופך לחוויה מיוחדת. מתנה מרגשת שתחמם את הלב ותישאר לשנים רבות!","8","false","10","","","","25","https://base44.app/api/apps/68d6c74511c551c2152b265d/files/public/68d6c74511c551c2152b265d/81f0cc9e8_166873.png","","[""women"",""teachers"",""children""]","regular","9","[]","","any","[""https://base44.app/api/apps/68d6c74511c551c2152b265d/files/public/68d6c74511c551c2152b265d/8d7fba916_166874.png""]","true","[]","","מראת איפור עם ידית מסרק נשלפת","9","[""not_relevant""]","false","","ילדים ונוער","","","","6983671a3e71e24409d84e91","2026-02-04T15:34:50.439000","2026-02-04T15:34:50.439000","68d6c74511c551c2152b265e","chaimovsky.d@gmail.com","false"
"false","0","[]","","","הפכו את תיק האיפור שלכם לייחודי עם הדפסה אישית של התמונות והעיצובים האהובים עליכם. הדפסה על החלק הלבן","6","false","10","","","","49","https://base44.app/api/apps/68d6c74511c551c2152b265d/files/public/68d6c74511c551c2152b265d/c2d2bbc24_166868.png","","[""children"",""women"",""teachers""]","regular","14","[]","","landscape","[]","true","[]","","תיק איפור / קלמר קנבס","25","[""not_relevant""]","false","","ילדים ונוער","","","","698365dda2b99d8f36de1fe9","2026-02-04T15:29:33.127000","2026-02-04T15:29:33.127000","68d6c74511c551c2152b265e","chaimovsky.d@gmail.com","false"
"false","0","[]","","","כיסוי דרכון איכותי עם הדפסה אישית על בסיס תמונות ועיצובים שלכם. הפכו את הכיסוי למתנה מיוחדת שמביאה לידי ביטוי את הזיכרונות והסגנון שלכם בכל נסיעה.","","false","10","","","","50","https://base44.app/api/apps/68d6c74511c551c2152b265d/files/public/68d6c74511c551c2152b265d/6d9df073a_164983.jpg","","[""men"",""gifts"",""women"",""teachers""]","regular","14.5","[]","","portrait","[]","true","[]","","כיסוי דרכון איכותי","8.7","[""not_relevant""]","false","","הדפסות","","","","6977d12b64950204b5546793","2026-01-26T20:40:11.198000","2026-01-26T20:40:11.198000","68d6c74511c551c2152b265e","chaimovsky.d@gmail.com","false"
"false","3","[]","","","גודל 33X43סמ

מתאים לילדים ונוער, ללוגים, כביסה ועוד","15","false","10","","גודל ההדפסה קטן יותר מגודל התיק","","35","https://base44.app/api/apps/68d6c74511c551c2152b265d/files/public/68d6c74511c551c2152b265d/c28330245_164979.jpg","","[""children"",""gifts"",""teachers"",""women""]","regular","20","[]","","any","[]","true","[]","","תיק שרוכים פוליאסטר ","29","[""not_relevant""]","false","","טקסטיל","","","","6977d0656b6d7ed6ec08ced6","2026-01-26T20:36:53.209000","2026-01-26T20:36:53.209000","68d6c74511c551c2152b265e","chaimovsky.d@gmail.com","false"
"false","12","[]","","","גודל התיק 37*32. עשוי פוליאסטר. ","20","false","10","","ההדפס הוא לא על כל שטח התיק. גודל התיק 37*32","","35","https://base44.app/api/apps/68d6c74511c551c2152b265d/files/public/68d6c74511c551c2152b265d/d0cde2835_164974.jpg","","[""women"",""teachers"",""gifts"",""children""]","regular","20","[]","","any","[]","true","[]","","תיק ידיות בד","29","[""not_relevant""]","false","","טקסטיל","","","","6977cffe695bd8efe68e98be","2026-01-26T20:35:10.620000","2026-01-26T20:35:10.620000","68d6c74511c551c2152b265e","chaimovsky.d@gmail.com","false"
"false","33","[]","","","עשוי נירוסטה","10","false","10","","גודל ההדפסה הוא היקף הכוס בחלק הרחב שלה, ניתן למקם את התמונה רק על חלק מהשטח ולהשאיר מקום לכתוב בצד השני","","59","https://base44.app/api/apps/68d6c74511c551c2152b265d/files/public/68d6c74511c551c2152b265d/dc58e3b93_164973.jpg","","[""men"",""gifts"",""women"",""teachers"",""home""]","regular","10","[]","","any","[]","true","[]","","ספל תרמי לרכב","20","[""not_relevant""]","false","","כוסות_ובקבוקים","","","","6977cf1905f0379a9c53b3cb","2026-01-26T20:31:21.195000","2026-01-26T20:31:21.195000","68d6c74511c551c2152b265e","chaimovsky.d@gmail.com","false"
"false","0","[]","","","הפכו את הזיכרונות שלכם ליצירה אישית עם מסגרת קולאז' 10 תמונות. הדפיסו את התמונות והעיצובים שלכם, וצרו מתנה מיוחדת שמבטיחה להחיות כל חלל ולכבוש את הלבבות של האנשים החשובים לכם.","","false","10","[{""slotId"":""slot_1769459129875"",""label"":""תמונה 1"",""targetWidth"":15,""targetHeight"":10,""description"":""רוחב"",""shapeMaskUrl"":""""},{""slotId"":""slot_1769459130422"",""label"":""תמונה 2"",""targetWidth"":15,""targetHeight"":10,""description"":"""",""shapeMaskUrl"":""""},{""slotId"":""slot_1769459131126"",""label"":""תמונה 3"",""targetWidth"":15,""targetHeight"":10,""description"":"""",""shapeMaskUrl"":""""},{""slotId"":""slot_1769459131743"",""label"":""תמונה 4"",""targetWidth"":15,""targetHeight"":10,""description"":"""",""shapeMaskUrl"":""""},{""slotId"":""slot_1769459132350"",""label"":""תמונה 5"",""targetWidth"":15,""targetHeight"":10,""description"":"""",""shapeMaskUrl"":""""},{""slotId"":""slot_1769459133010"",""label"":""תמונה 6"",""targetWidth"":15,""targetHeight"":10,""description"":"""",""shapeMaskUrl"":""""},{""slotId"":""slot_1769459133652"",""label"":""תמונה 7"",""targetWidth"":13,""targetHeight"":18,""description"":"""",""shapeMaskUrl"":""""},{""slotId"":""slot_1769459134307"",""label"":""תמונה 8"",""targetWidth"":13,""targetHeight"":18,""description"":"""",""shapeMaskUrl"":""""},{""slotId"":""slot_1769459134990"",""label"":""תמונה 9"",""targetWidth"":13,""targetHeight"":18,""description"":"""",""shapeMaskUrl"":""""},{""slotId"":""slot_1769459135623"",""label"":""תמונה 10"",""targetWidth"":13,""targetHeight"":18,""description"":"""",""shapeMaskUrl"":""""}]","","","139","https://base44.app/api/apps/68d6c74511c551c2152b265d/files/public/68d6c74511c551c2152b265d/5bbe76efd_164969.jpg","","[""office"",""home"",""women"",""men"",""gifts""]","regular","","[]","","any","[]","true","[]","","מסגרת קולאז'10 תמונות","","[""hanging""]","false","","תמונות במסגרת","","","","6977ce05cc6e9b90d51d012d","2026-01-26T20:26:45.282000","2026-01-26T20:26:45.282000","68d6c74511c551c2152b265e","chaimovsky.d@gmail.com","false"
"false","19","[]","","","","5","false","10","[{""description"":""רוחב"",""slotId"":""slot_1769458869020"",""targetHeight"":10,""label"":""תמונה 1"",""targetWidth"":15,""shapeMaskUrl"":""""},{""description"":""רוחב"",""slotId"":""slot_1769458878684"",""targetHeight"":10,""label"":""תמונה 2"",""targetWidth"":15,""shapeMaskUrl"":""""},{""description"":""רוחב"",""slotId"":""slot_1769458881367"",""targetHeight"":10,""label"":""תמונה 3"",""targetWidth"":15,""shapeMaskUrl"":""""},{""description"":""רוחב"",""slotId"":""slot_1769458882674"",""targetHeight"":10,""label"":""תמונה 4"",""targetWidth"":15,""shapeMaskUrl"":""""},{""description"":""גובה"",""slotId"":""slot_1769458883531"",""targetHeight"":15,""label"":""תמונה 5"",""targetWidth"":10,""shapeMaskUrl"":""""},{""description"":""גובה"",""slotId"":""slot_1769458884147"",""targetHeight"":15,""label"":""תמונה 6"",""targetWidth"":10,""shapeMaskUrl"":""""},{""description"":""גובה"",""slotId"":""slot_1769458884705"",""targetHeight"":15,""label"":""תמונה 7"",""targetWidth"":10,""shapeMaskUrl"":""""}]","","","109","https://base44.app/api/apps/68d6c74511c551c2152b265d/files/public/68d6c74511c551c2152b265d/1783a106c_164968.jpg","","[""office"",""gifts"",""home""]","regular","","[]","","any","[]","true","[]","","מסגרת עץ טבעי 7 תמונות","","[""hanging""]","false","","תמונות במסגרת","","","","6977ccfb8a0b5f72aaf26969","2026-01-26T20:22:19.259000","2026-03-11T10:07:00.546000","68d6c74511c551c2152b265e","chaimovsky.d@gmail.com","false"
